depth,age
0,0
1,5
2,8
3,10
4,13
5,16
6,19
7,22
8,25
9,28
10,31
11,35
12,39
13,42
14,46
15,49
16,53
17,57
18,61
19,65
20,68
21,72
22,77
23,83
24,89
25,95
26,100
27,105
28,111
29,116
30,122
31,127
32,133
33,139
34,145
35,150
36,156
37,162
38,169
39,175
40,181
41,188
42,194
43,201
44,207
45,214
46,221
47,229
48,236
49,244
50,252
51,260
52,268
53,276
54,284
55,292
56,301
57,309
58,317
59,325
60,333
61,342
62,350
63,358
64,367
65,376
66,385
67,393
68,402
69,409
70,416
71,424
72,433
73,441
74,449
75,457
76,465
77,473
78,482
79,490
80,498
81,507
82,514
83,523
84,532
85,541
86,548
87,557
88,564
89,573
90,581
91,589
92,597
93,606
94,614
95,623
96,631
97,639
98,648
99,656
100,665
101,674
102,684
103,693
104,703
105,712
106,723
107,732
108,742
109,751
110,760
111,770
112,779
113,788
114,799
115,808
116,817
117,826
118,835
119,844
120,854
121,862
122,870
123,880
124,891
125,900
126,908
127,915
128,924
129,933
130,942
131,951
132,961
133,969
134,978
135,987
136,996
137,1005
138,1013
139,1022
140,1031
141,1040
142,1049
143,1057
144,1066
145,1075
146,1083
147,1092
148,1101
149,1110
150,1119
151,1127
152,1136
153,1144
154,1154
155,1162
156,1170
157,1179
158,1187
159,1196
160,1205
161,1215
162,1224
163,1231
164,1240
165,1248
166,1256
167,1265
168,1273
169,1281
170,1290
171,1299
172,1309
173,1317
174,1325
175,1334
176,1342
177,1351
178,1360
179,1369
180,1378
181,1387
182,1395
183,1404
184,1413
185,1422
186,1432
187,1441
188,1449
189,1457
190,1466
191,1476
192,1485
193,1494
194,1501
195,1510
196,1519
197,1528
198,1536
199,1544
200,1553
201,1562
202,1571
203,1580
204,1589
205,1598
206,1606
207,1614
208,1623
209,1633
210,1640
211,1649
212,1658
213,1666
214,1674
215,1682
216,1690
217,1698
218,1706
219,1716
220,1724
221,1732
222,1740
223,1748
224,1756
225,1764
226,1771
227,1779
228,1786
229,1793
230,1801
231,1809
232,1816
233,1824
234,1833
235,1841
236,1849
237,1858
238,1866
239,1875
240,1884
241,1892
242,1900
243,1909
244,1917
245,1928
246,1939
247,1948
248,1958
249,1966
250,1975
251,1984
252,1992
253,2001
254,2011
255,2021
256,2029
257,2037
258,2046
259,2056
260,2064
261,2072
262,2080
263,2088
264,2098
265,2106
266,2116
267,2124
268,2133
269,2140
270,2148
271,2156
272,2165
273,2174
274,2182
275,2190
276,2200
277,2209
278,2218
279,2226
280,2234
281,2244
282,2254
283,2263
284,2272
285,2282
286,2291
287,2300
288,2309
289,2318
290,2327
291,2336
292,2345
293,2354
294,2364
295,2373
296,2382
297,2391
298,2400
299,2409
300,2418
301,2427
302,2437
303,2445
304,2455
305,2464
306,2473
307,2482
308,2492
309,2501
310,2510
311,2520
312,2529
313,2538
314,2546
315,2556
316,2566
317,2575
318,2583
319,2592
320,2602
321,2610
322,2619
323,2629
324,2638
325,2646
326,2655
327,2663
328,2673
329,2682
330,2691
