depth,d18O,age
6.6,-50.12,0.03799999999999999
7.15,-49.16,0.046400000000000004
7.7,-48.14,0.0552
8.25,-50.35,0.06375
8.8,-50.94,0.07200000000000001
9.35,-50.6,0.0813
9.9,-50.52,0.0912
10.45,-51.07,0.10199999999999998
11.0,-49.97,0.113
11.55,-50.89,0.12290000000000002
12.1,-51.6,0.1329
12.65,-50.45,0.14335
13.2,-50.81,0.1538
13.75,-49.98,0.16425
14.3,-50.62,0.17500000000000002
14.85,-51.07,0.186
15.4,-51.72,0.197
15.95,-50.11,0.20799999999999996
16.5,-52.51,0.2205
17.05,-50.22,0.23305000000000003
17.6,-49.92,0.24460000000000004
18.15,-49.86,0.25599999999999995
18.7,-50.44,0.267
19.25,-50.7,0.27775
19.8,-51.7,0.2882
20.35,-50.98,0.29900000000000004
20.9,-50.72,0.30999999999999994
21.45,-51.68,0.32145
22.0,-51.17,0.333
22.55,-51.26,0.34455
23.1,-50.64,0.3561
23.65,-51.5,0.36765
24.2,-51.56,0.3794
24.75,-51.89,0.3915
25.3,-51,0.40390000000000004
25.85,-50.55,0.41655000000000003
26.4,-50.58,0.42879999999999996
26.95,-51.93,0.44089999999999996
27.5,-50.5,0.4535
28.05,-50.49,0.46615000000000006
28.6,-51.06,0.47880000000000006
29.15,-51.24,0.49144999999999994
29.7,-50.23,0.5041
30.25,-52.52,0.51725
30.8,-51.03,0.531
31.35,-50.94,0.5447500000000001
31.9,-49.54,0.5585
32.45,-50.14,0.5709000000000001
33.0,-51.18,0.583
33.55,-49.53,0.5956499999999999
34.1,-51.2,0.6084
34.65,-51.18,0.6215999999999999
35.2,-49.33,0.6346
35.75,-49.82,0.64725
36.3,-50.43,0.6593
36.85,-51.31,0.6708500000000001
37.4,-51.06,0.6836
37.95,-51.1,0.6968
38.5,-51.02,0.71
39.05,-51.49,0.7232
39.6,-51.68,0.7364
40.15,-51.58,0.7497499999999999
40.7,-50.7,0.7635000000000001
41.25,-50.82,0.77725
41.8,-50.44,0.7909999999999999
42.35,-50.65,0.8044
42.9,-50.24,0.8175999999999999
43.45,-49.93,0.83035
44.0,-49.7,0.843
44.55,-49.57,0.8545499999999999
45.1,-51.58,0.8664000000000001
45.65,-50.27,0.8795999999999999
46.2,-51.79,0.8934000000000001
46.75,-49.99,0.90825
47.3,-51.45,0.9228
47.85,-51.04,0.9371
48.4,-51.16,0.951
48.95,-51.28,0.96475
49.5,-50.41,0.9784999999999999
50.05,-51.06,0.9923
50.6,-50.98,1.0066
51.15,-51.55,1.0210499999999998
51.7,-50.61,1.0359
52.25,-49.76,1.0505
52.8,-50.36,1.0648
